「あっ」という
あかあかと
あかるみを
あくがれつ
あくび中
あげたいな
あけたすて
あげて夏
あけといて
アゲハ蝶
アゲハ蝶
あざやかに
あさゆうべ
あそび居る
あたたかい
あたたかい
あたたかさ
あたたまる
あたたむる
あたらしく
アッシー君
あつすぎる
あったかい
あったのね
あったんだ
あつまれり
あと５分
あどけなき
あとさきに
あとで消す
あなた待つ
あの土手に
あびている
あふぎ出す
アブラゼミ
あふれてる
あまえんぼ
あまえんぼう
あらあらし
あらあらに
ありありと
ありがとう
ありしとぞ
ありどころ
ありながら
あるこころ
ある故郷
ある特技
アロハシャツ
哀れなる
愛かなあ
愛告げる
逢いたいの
逢いにゆく
茜雲
庵の木々
案内図
溢れてる
溢れをり
溢れ落つ
雨けぶる
雨のすじ
雨のなか
雨の音
雨の玉
雨の午後
雨の中
雨を待つ
雨叩く
温い午後
温かい
温かき
温かさ
会いたいと
会いに行く
甘たるい
仰がるる
仰ぎ寄る
仰ぐのみ
兄は居し
畦づたひ
畦つづく
欠伸する
現れし
吾子を追うふ
吾子巣立つ
荒るるまま
秋が来た
秋に会い
秋の雨
秋の空
秋の蝉
秋の風
秋の暮
秋の夜
秋ひとつ
秋遍路
小豆粥
上がってる
上げにけり
新しく
青いから
青い空
青い月
青りんご
青々と
赤い羽根
赤い糸
赤い鼻
赤とんぼ
赤トンボ
赤にして
赤ん坊
跡のあり
浅き春
浅々と
洗はざる
争へる
足の芸術
足運ぶ
足取られ
足早に
淡い恋
暖かく
暖かさ
朝ごはん
朝を斬る
朝寒し
灯欲し
頭挿す
歩いてく
歩いてる
歩きたい
歩きをる
歩き出す
歩く坂
歩み出す
歩み入る
歩るくなり
泡を噴く
明らかに
明るさよ
明日へ生く
遊ばせて
遊びけり
遊びゐる
遊ぶ鳥

いいじゃんか
いいのにな
いかないの
いくすじも
いさぎよし
いじめてる
いそいそと
いただきに
いただきぬ
いつくしむ
いっている
いっぱいだ
いつまでも
いつまでも
いつも影
いとちひさ
いとほしむ
いとまなし
いなくなる
いぶし銀
いまのぼる
いまはなき
イモ畑
いるのかい
いるんだぞ
いれたお茶
いれちゃだめ？
いわし雲
いわれたよ
伊崎良子
伊勢にあり
伊勢の国
伊勢平野
偉人たち
異空間
異人館
移民老ゆ
医を迎ふ
一羽ゐる
一家族
一眼に
一漁村
一軒家
一軒家
一年生
一両目
一礼す
一列に
稲を刈る
鰯雲
家に居る
家の軒
家ばかり
家ひとつ
家出る刻
家路あり
活けており
岩に干す
岩畳
急ぎをり
居候
犬が鳴く
犬に言う
犬のよう
犬待てり
言いし君
言えたかも
言っている
言ってみる
言ひあひぬ
言われたよ
行きたがる
行ってみる
今しがた
今ついた
今も尚
今一夜
糸電話
出づる音
出できたる
色が好き
色となる
色にして
色もなし
色を出す
色硝子
粋な空
生きている
生き残る
石だたみ
石に腰
石の坂
石の数
石の段
石を積む
石灯ろう
石頭
息づかひ
息白し
痛みもつ
田舎バス
入れました
入れる春
板の上
命たち
容れきれず

うきあがる
うしなへる
うしろ髪
うすあかり
うすぐもり
うすけむる
うすなさけ
うすにごり
うすみどり
うすよごれ
うすらぎて
うちあけよう
うちふるふ
うつくしき
うつそうと
うづたかく
うつっちゃう
うつりをり
うつろへる
うとまるる
うなってる
うばひ去る
うまくなる
うまりそう
うみを恋ふ
うらおもて
うら若き
うるさいよ
うれしそう
うれしそう
うれひごと
うんどうかい
移りけり
宇宙都市
宇宙服
雨月物語
嘘を吐く
歌うだけ
歌が好き
歌にする
海に向く
海のおと
海の町
海へ向く
海暗き
海見える
海原へ
海思ふ
嬉しいな
魚の腸
湖の宿
後ろ向く
後を追ふ
氏神へ
受けにけり
受け取りぬ
受験票
愁ひあり
上をゆく
打ちふれる
打ち明けた
打ってやる
奪ひあう
奪われる
動かざる
動きだす
動き出す
動くもの
梅の花
梅雨の香
梅三分
梅日和
売っている
薄い春
浮かんでる
浮ぶとき
浮ぶ日よ
埋めてみる
裏戸口
裏返えし
腕相撲

エキストラ
エベレスト
駅につく
駅時計
園児達
縁に坐す
縁のはし
絵そらごと
絵の具混ぜ
絵をかける
絵具の朱
絵馬もあり
獲て帰る
干し鰈
枝のさき
枝の凧
枝をのべ
笑みこぼれ
笑顔かな

おもほゆる
おいだすぞ
おいていく
おーいお茶
オートバイ
おかえりなさい
おきあがる
おきな面
おくれがち
おさげ髪
おじいさん
おじいちゃん
おじぎする
おじぞうさん
おしとどめ
おしゃれする
おすそわけ
オズの世界
おそれざる
おそろしし
おちる音
おとうさん
おとなしき
おどりだす
おとろふる
おなじいろ
おにごっこ
おにの顔
おのが家
おのづから
おばあちゃん
おびただし
おひるねちゅう
おほどかに
おぼろの夜
おめでとう
おもちや箱
おもはゆし
おもひ寝る
おりてくる
お月さま
お似合いね
お辞儀する
お手伝い
お裾分け
お正月
お説教
お祖母ちゃん
お年玉
お姫様
お父さん
お墓みたい
お母さん
泳いでる
泳ぎたい
泳ぎ切る
応援す
押しとどむ
押し花に
押せばつく
王子様
俺宿題
温泉へ
音がする
音すなり
音とおもふ
音のあり
音ばかり
音もなく
音楽会
音幽か
下ろしてく
起きる父
鬼の面
丘となる
丘に待つ
丘の樹々
丘の上に
教へらる
驚きぬ
降りたのね
桜桃忌
思い出す
思い馳せ
思ひつつ
思ひゐる
終わらせる
襲ひきぬ
重いです
重すぎる
女かな
女の子
女坂
女親
親孝行
惜し通す
惜みけり
折りくれし
折り捨つる
折れ易し
帯固く
大いさよ
大いなる
大いばり
大きさよ
大きすぎ
大き空
大そうじ
大晦日
