あいうえお
あいぞめで
あかあかと
あきのそら
あけおめと
あけそめし
あじさいの
あじさいは
あたる日に
あちこちと
アップルパイ
あどけない
あとわずか
あと三月
あと三年
あのつくし
あの雲は
あの家は
あの橋を
あの言葉
あの山の
あみの上
あやとりで
あらぬ方
あらはなる
ありありと
ありがとう
ありたけの
ありたちは
アリだって
あるじより
アルバムが
アルバムに
あれあれて
あわあわと
愛犬と
愛犬も
愛猫の
逢へば子の
茜空
案内する
雨あとの
雨がえる
雨だれに
雨に来て
雨のあと
雨の音
雨の中
雨の日は
雨もよひ
雨よんで
雨一日
雨雲の
雨音の
雨過ぎし
雨脚の
雨去つて
雨降るや
雨降れば
雨上がり
雨水の
雨晴れし
雨多き
雨曇り
雨来るや
温かき
開けて寝る
汗かいて
甘酒で
蟻たちが
蟻と僕
仰ぎ見る
仰向に
暁の
空缶を
欠伸して
欠伸して
荒れ果てし
荒犬を
荒削り
荒縄に
荒波の
荒壁の
荒木にて
紫陽花の
紫陽花は
秋の蚊を
秋の空
秋の田に
秋の日の
秋過ぎて
秋空を
秋深き
秋彼岸
秋風が
秋風と
新しき
青い空
青い山
青い波
青い風
青くさき
青空に
青空は
青々と
青蜜柑
赤ちゃんと
赤ちゃんの
赤とんぼ
赤トンボ
赤児抱く
赤蜻蛉
洗い場は
相寄りて
相合傘
相照らす
足あとの
足あとを
足くづす
足で踏む
足音の
足音は
足跡は
足跡を
足裏が
暖かさ
暖かや
朝くらき
朝の間に
朝の間の
朝の風
朝顔が
朝起きて
朝市の
朝々を
朝潮の
朝風に
朝霧に
朝野球
朝夕の
朝露を
灯して
当たったら
編む妻と
歩いたら
味見はね
明け放つ
明け方の
明ちかく
明日は早や
有明海
遊ぶ子の
預けある
揚げ花火
嵐吹く
秋空へ
秋の空
浅黄空
後の空
ある虚空
天の戸は
天地に
あめつちの
いいんだよ
いかめしき
いくたびも
いくつもの
イケメンの
いさぎよき
いささかの
いさみ立つ
いじめっ子
いたつきの
いたづらに
いちどきに
いちめんの
いづこまで
いつしかに
いってきます
いつぱしの
いつまでも
いつ見ても
いないいない
いなごたち
いにしえの
いねかりや
いのちあり
イブの夜
いもうとが
いもほりの
イヤホンを
いらいらを
いろいろの
いわし雲
異次元の
胃の中を
遺影あり
一家皆
一回で
一隅の
一族の
一点を
一度下げ
一日の
一日は
一番の
一匹の
一片の
一枚の
一湾の
稲光る
稲妻の
芋を掘る
鰯雲
家ごとに
家に近き
家に古る
家の犬
家ふえて
家々の
家近く
家主を
家中で
家土産に
家訪へば
家迄は
岩に置く
岩室に
幾百の
急がぬと
急ぐこと
居酒屋で
漁り火の
嫌なこと
犬が来て
犬つれて
犬と私
犬引て
犬去れば
犬駆つて
犬洗ふ
犬張子
犬吼ゆる
言いわけの
古えに
五十路きて
行き行けば
行ってきます
今の私
市に聞く
市中や
糸つけて
糸屑に
出雲から
色うごく
色なき風
色に出し
色揚げの
色褪せし
寝ねがたき
粋な蟹
生垣を
石けりの
石をもて
石一つ
石垣に
石室に
石焼きの
石組の
石段の
石段を
石投げて
息きらし
息つけぬ
息つめて
息白し
池に鳥
池の亀
稚けなく
頂の
田舎から
田舎味噌
凍てる指
入船の
入日さす
板の間に
板橋の
板畳
妹に
妹の
妹も
苺買い
燻し空
うかうかと
うかとして
うぐいすが
うぐいすの
うしろから
うすうすと
うす氷
うす味に
うそうそと
うたた寝を
うち晴れし
うつくしい
うつつなき
うつろなる
うとうとと
うねうねと
うぶ声は
うまず女の
うらうらと
うららかな
うららかや
うらわかき
うれしいな
移さるる
移り住んで
移り来て
宇宙には
迂闊にも
雨後の庭
厩から
瓜二つ
噂もつ
運動会
雲海に
怨み言
鴬が
歌に聞く
海の雨
海の果
海の月
海の日や
海荒るる
海暮れて
海鳴りの
嬉しくて
牛たちが
牛年が
魚市の
魚市や
魚籠の
湖に出て
湖に立つ
後ろ影
後ろ髪
産声で
植木屋の
打乗れば
打水や
動かざる
動く雲
乳母車
馬の耳
梅が香や
梅の香を
梅祭り
梅咲いて
売り残す
売り売りて
売れのこる
薄き日を
薄雲の
薄煙
薄紙を
薄着して
美しい
浮輪から
埋草の
埋立ての
裏戸から
裏口に
裏山に
裏町に
裏庭の
裏道に
裏道は
うめの空
エコー画像
エコロジー
エコ生活
えらそうに
えりあしが
えんぴつを
餌をあさる
液体に
駅を出て
駅前へ
駅裏で
円高が
炎上に
炎天や
縁に干す
縁に置く
縁側で
縁側に
遠足の
鉛筆の
会釈して
絵手紙の
絵日記の
絵本より
干支の牛
枝裂て
笑顔にも
撰り出して
お～いお茶
オーボエで
おお苦い
おかあさん
おかえりと
おくつきを
おじいちゃん
おじいちゃんと
おじぎ草
おしゃべりを
おそはれし
おつくうに
おてつだい
おとうさん
おとしだま
おとし玉
おにぎりが
おにぎりに
おにぎりの
おにぎりを
オニヤンマ
おにやんま
おばあちゃん
おひなさま
おほらかに
おみくじは
オムライス
おもちつき
おもむろに
オリオン座
オレンジの
おろおろと
おんぶした
お花屋さん
お気軽に
お兄ちゃんの
お月さま
お月様
お使ひに
お姉ちゃん
お正月
お先にと
お揃いの
お茶にしよ
お茶をつぎ
お茶摘みに
お日様に
お年玉
お腹の子
をりをりは
奥の間に
奥様と
往来の
押入に
王朝の
黄金の
沖からの
沖遠く
沖照りの
屋久杉が
屋上は
乙矢手に
俺のイス
温暖化
音さえも
音なくて
音もなき
音やめば
音楽は
覚えたて
含羞草
起きて居て
起きぬけの
鬼じゃなく
鬼は外
鬼瓦
鬼役も
丘に待つ
教へ子に
後れたる
思い出の
思い出は
思い出を
思ひ切り
終りなき
女湯も
女等は
親も子も
折からの
折とれば
折りくるる
折り曲げて
折り紙で
折紙の
想い出の
送られて
怠りし
大そうじ
大なわで
大晦日
大空に
大空は
大空へ
大欠伸
大股で
大阪は
大寺の
大人でも
大人にも
大人より
大声で
大掃除
大樽に
大棟に
追ひかけて
追われてく
弟が
弟に
弟の
弟は
怒ること
幼なきは
幼な子の
落ちかかる
落ちて居る
落ち葉から
落ち葉には
落ち葉にも
落ち葉掃く
落る日に
落人の
落葉踏む
老いし母
老い松に
老が身は
老て行く
老の頬に
掟書く
朧月
大空や
カーテンの
カーテンを
かがみもち
かがやきの
かきごおり
かきの実が
かきの木に
かき祭り
かくれゐる
かくれんぼ
かくれんぼう
かけ足が
かごの中
かさかさと
かざはなが
カシオペア
かじかんだ
かしましく
かずかずの
がたがたに
かたくりこ
かたつむり
かたまりて
かたむきし
かたわきに
かつかつと
がつくりと
がつしりと
かなしみを
カニ完売
かばかりの
かはたれの
カバンまで
カフェオレの
カプセルの
かぶとむし
カブトムシ
かぶと虫
かまきりが
かみがたを
かみさまが
からからと
がらがらと
ガラス越し
からびたる
カラフルな
かりそめに
かり綴の
かるたとり
かるた会
カレンダー
カンテラを
がんばった
烏瓜
影踏みに
夏期休暇
家計簿に
家族やもん
家族増え
果樹園や
河べりに
蚊遣火の
画用紙に
画用紙の
介護服
会葬の
解雇され
回想の
回廊の
怪獣の
戒壇を
改札を
海パンを
海水浴
海底に
貝がらと
貝殻に
外国の
崖肌に
街よする
街燈に
街道の
街路樹に
街路樹の
街路樹の
垣なせる
垣根まで
柿すだれ
柿の種
郭公や
閣上の
学校に
学校の
学問に
学寮も
掛軸に
喝采に
釜鳴りの
鎌鼬
刈り残す
寒牡
寒稽古
寒月や
寒梅に
寒林や
看病の
眼科医は
眼前の
願かけし
帰り道
帰り来て
帰るなり
帰る子に
帰ろうか
鏡では
鏡もち
鏡見て
空っぽの
欠けてゆく
肩に来し
肩車
鍵の手に
元旦に
元旦の
元朝に
限りなき
枯野来て
語り居て
甲板に
合唱の
合掌の
傘さして
傘さして
飼い主を
飼犬の
重ね着で
書き初めで
書き初めの
書き溜めた
書初に
硝子戸の
硝子瓶
神無月
神様が
神様も
川くねり
川づらに
川遠く
川音に
川下や
川筋は
川杭や
川尻の
川中に
川底に
川添ひの
掻きよせて
剃刀の
頭文字
買物の
髪の毛が
髪を切り
髪切って
髪染めて
悲しいな
悲しみは
皮をむく
風いでて
風が吹く
風だけが
風にのる
風に透く
風に浮き
風の中
風はやし
風までも
風わたる
風止みて
風邪の子の
風吹いて
壁にさす
壁の錆
片隅で
片言に
片身にて
片想い
片側は
片付けて
片頬は
返り花
母さんの
傍に
門に呼ぶ
門松を
窯出しの
厠の灯
厠出て
瘡蓋が
蝸牛
かの虚空
ぎこちなき
きざみこむ
きさらぎの
ギター弾く
きたかぜが
きた風が
ぎつと鳴る
きばみたい
キミとボク
きやきやと
キャラメルを
きゅうりの芽
キラキラと
きらきらと
きらめきて
きれいな字
きれぎれの
ぎんなんを
黄に光る
黄に染めて
寄宿舎で
机上なる
帰省して
気がつけば
気づかない
気のゆるみ
気の早い
気休めと
汽車に寝て
季の移り
紀ノ川に
記念日の
騎馬戦の
義歯入れて
客とめて
休刊に
球場が
旧街道
牛乳の
強風に
教科書が
教科書の
教科書を
教材の
教室の
教室は
鏡台の
禁断の
金魚さん
金魚すくい
金魚たち
金魚より
金魚鉢
金星が
金髪を
銀杏の
銀杏を
銀行の
銀色の
銀盤の
君と見た
君のつく
君の名は
君想う
君恋し
今日までの
今日も来て
昨日より
昨日来た
樹の空に
樹の中に
樹雫に
傷つけば
消えがての
消えである
消えてくと
消え消えて
切られても
切りすぎた
切り貼りの
切株の
着ぐるみの
北国に
北庭の
北風が
北風に
北風の
北風や
北風小僧
霧島の
木に犬を
木の椅子に
木の下に
木の実落つ
木も草も
木ゆらぎの
木移りに
木雫に
木々いつか
木々の間を
木々は皆
木々を見て
来て見れば
来合はせて
虚空かな
虚空には
クーラーの
クシャミして
くじらぐも
くたびれて
クッキーと
くつくつと
くどくどと
クモの家
くらくなり
ぐらぐらと
グランドの
クリスマス
くるくると
クレパスの
クレヨンを
くわらくわらと
ぐんぐんと
暗がりの
暗きより
暗闇の
雲しきり
雲もなき
雲影や
雲間から
雲切れて
雲切れや
雲早き
雲来り
句会後の
句碑立ちて
空港の
偶然の
櫛の歯の
靴とばし
靴ひもと
靴ひもを
靴先に
群青が
口あいて
口あけた
口あけて
口ずさむ
口中に
口癖を
国訛り
黒々と
黒豆を
黒猫も
昏れてなほ
首をふる
唇や
草の実を
草むしり
草むらに
草野球
釘曲げて
曇る日の
曇日の
暮るるまで
暮るる樹々
暮れかけの
暮れそめて
暮れ雲の
暮れ残る
暮れ色の
崩れては
薬より
薬指
空間に
空中の
ケーキ屋の
ケータイが
げきの中
ゲタの音
けつろ取り
ゲルニカや
ゲレンデに
ゲレンデは
けんかして
煙吐く
下校時の
下車駅は
下駄で来し
下駄はいて
下駄箱に
化粧品
境内や
啓蟄や
携帯電話
景気よく
芸術家
激論の
結局は
結露した
月出ずる
健啖は
限界の
今朝もまた
今朝摘みし
蹴る石も
消しゴムは
消しゴムを
「ご苦労様」
こいのぼり
コーヒーの
コーヒーを
こおろぎが
こおろぎと
こがらしに
こけ石の
コスモスの
コスモスも
こたつだと
コタツ布団
こたふるは
こだまする
こっくりと
こつこつと
こっそりと
ことごとく
ことさらに
このおかず
この街の
この金魚
この指に
この星の
この道に
この年を
この路は
この路地の
こひつじは
こぶし程
ごぼごぼと
こぼるるや
こぼれ目に
こまごまと
ゴム長に
こめかみの
これなあに
これ以上
これ写楽
ころころと
ごろごろと
こんなこと
こんなにも
こんにちは
コンパスの
衣替
衣替え
越してゆく
極楽へ
金色の
金平糖
言葉って
言葉より
古稀すぎて
五円玉
五七五
五線譜に
後悔を
御利やくを
交番から
光陰を
公園で
公園に
公園の
工場の
校長の
校庭に
校庭の
甲子園
硬球を
紅白に
紅白の
紅葉の
荒天の
郊外に
鉱山の
高原の
高低に
合格の
豪快に
轟々と
国境に
国際線
黒人の
黒板に
腰かくる
腰掛に
今年こそ
困っても
