あいづちを打つ
アイロンかけて
アインシュタイン
あかつきの天
あくびみたいな
あくびをすると
あくびを増やす
あぐらでギターを
あけし弁当や
あせらずゆっくり
あたしのために
あたたかき宵
あたつて落ちし
あだに灯りて
あたりの闇の
あちみこちみて
アップルティーに
あつめて飛ばす
あててつめたき
あなたが猫なら
あなたのくれた
あなたのタイプは
あなたの速度
あなたへの恋
あの子の背中が
あの子はまるで
あの日の夜に
あの娘も細い目
あばれているよ
あふられがちや
あふれし水や
あふれる朝日
あほのけ様や
あまりに小さし
あまり小さき
あめんぼ上手に
あやしきものや
あやまちもなき
あらたな出会い
ありあり浮ぶ
あるじ一人と
あるなら見たい
あれこれ略す
あれはピカソの
アンモナイトの
あんよが上手に
阿蘇乙姫に
哀れ盛りや
愛されたいと
愛情そえて
挨拶をする
茜の窓で
飴のようで
或るは見えて
雨がかかって
雨かとばかり
雨が走れる
雨さめざめと
雨だれくぐる
雨だれ一つ
雨でしおれた
雨にうたれし
雨になりゆく
雨にぬれたる
雨にもならぬ
雨にも匂ひ
雨に覚めたる
雨に堪へゐる
雨に明るし
雨に流るる
雨のえのぐで
雨のシャワーで
雨のとびゐる
雨のワルツを
雨の激しき
雨の降らざる
雨の窓辺に
雨の匂いと
雨の白さや
雨の流るる
雨はげしくて
雨はつれなき
雨はまだかと
雨やどりして
雨を落して
雨一すじの
雨雲さそふ
雨応へ来し
雨脚しろき
雨戸のすき間
雨降る中の
雨十分の
雨吹き下ろす
雨垂れ落ちの
雨大粒や
雨注ぎ来る
改められし
汗だくゴジラ
汗を隠して
甘えてゆくや
甘さと一緒に
甘さを残す
貴方の肩の
貴方も思案
暁暗き
空いた心に
兄と隣の
兄の真似して
穴から見える
吾子も丸刈り
後押し受けて
厚みの分だけ
紅く染めたる
合わす鏡に
合間に飲みほす
謝っている
秋のにおいに
秋の日差しの
秋を拾って
秋を奏でる
秋夕焼の
集めたような
集めて三月
集めて杣の
新しき出会いに
新たなチームの
新たな家族
青きを帯ぶる
青き灯の点く
青一色の
青々と見ゆ
赤ちゃん一緒に
赤ちゃん見たよ
赤やきいろの
赤や黄色の
赤青黄色
赤々と旭の
赤白わかれて
跡を辿れば
浅間の煙
洗ひあげたる
洗ひ流しぬ
足がはえるか
足にさぐるや
足に合ふ靴
足の丸さよ
足の裏から
足も心も
足をたたんで
足を入れたる
足を絡ませ
足跡がない
足跡みゆる
足跡長き
朝の挨拶
朝の言葉の
朝の新聞
朝市の人
灯消えたり
頭から食む
頭の中に
熱きが中の
歩けばわかる
泡と上下し
飽きもはてたる
味にも似たる
明けてしづけし
明けはなれたる
明けゆく空や
明け渡したり
明るき雨や
明るき屋根や
明るき窓の
明るき方へ
明るく暗し
明日は会える
網にかかりし
網目の化粧が
油さしけり
遊ばせてゐる
遊び仕事や
遊び仲間の
遊び戻るや
遊んで欲しくて
浴びて狐に
憐みつつも
閼伽の手桶を
仰いで空に
碧き空さへ
赤き冬空
茜の空に
あの空恋し
青空落つる
青空染むと
あをぞらながら
青空に入る
青空を見る
青い虚空に
青天井の
天の川原は
天の窓より
いう名の海に
いう名の雪が
いう名の布団に
いえど富士山
いくさ今なき
いくつか見ゆる
いくつもありて
いくつもの恋
いくつも答えた
いささか酔ふて
いささか濡れし
いたずらリスの
いたはり合へる
いつかは主役に
いつか夢見る
いづこの道も
いっしょにお昼ね
いっしょにほどけた
いつになったら
いつの間にやら
いつの夕日の
いっぱいつまった
いっぱい持って
いつまでそこに
いつまで青き
いつまで匂ひ
いつもおしゃべり
いつもこの音
いつもころころ
いつもとちがう
いつものごとく
いつものすずめを
いつものながめ
いつもの場所で
いつも笑って
いつも悲しき
いつも不思議な
いつも夕焼け
いてつく空を
いとどつめたし
いとほしむ身や
いふて鰯の
いましめあふて
いますこしなる
いまだ覚めざる
イヤホンの音
イヤリングにして
いよいよ雨の
いよいよ近く
いよいよ白し
いよいよ励む
いよよはためく
いろいろ買ひし
いろんなメガネを
いろんな音符が
いろんな家が
いろんな色が
いわし雲から
インクの滲み
伊吹の山は
椅子をすすめる
異国のみかん
移民の秘話を
一羽おくれて
一羽もをらず
一回目だね
一喜一憂
一時に開く
一緒に終わる
一直線に
一日券で
一日得した
一杯分の
一番列車
一本ありて
一枚ぬいだ
一枚羽織り
一枚岩や
一夜一夜の
一輪咲いた
一路明るし
稲穂の海で
稲穂眺めて
陰謀めいた
家が灯りぬ
家で聴きたい
家に帰りて
家に大きな
家に夜が来ぬ
家の中にも
家ははるけし
岩にあそべる
岩にあてたる
岩に刻める
岩のくぼみの
岩をめぐりて
幾度越へる
居るとも見えぬ
居場所を失くす
犬につけてる
犬の視線を
犬吠えてゐる
言う瞬間に
言えずに消える
言ってしまった
言ってた父が
言ふことなくて
行こう彼女の
行っても春の
今では笑顔
今でもそう言う
今の気持ちを
今降りさうな
今再びの
今夕立の
糸に子ねこが
色えんぴつで
色かはりたる
色が目覚める
色さめ易き
色づけたのは
色とりどりの
色なき水や
色のくすめる
色わかれたる
色をとどめし
色をみだして
色を吸はるる
色極まりし
色々隠し
色青みゆく
色濃き花を
色柄のよき
生きてひとりの
生きるぞと強く
生きる意味問う
石がぐらつく
石にさはれば
石に咲きたる
石に彫られて
石の窪みや
石を宇宙へ
息をひそめる
池いつぱいに
池の中に
池を隔てて
痛くなるまで
痛みが溢れる
入り来る時の
入口それは
妹つれて
未だ昭和が
命くもれる
命はかなく
癒えし病や
勇みて帰る
色無き空に
『運命』流れる
うごくがままに
うしほの如く
うしろめたさの
うしろ見てゐる
うしろ向きなる
うしろ吹かるる
うすき煙の
うすみどりなる
うすら青なる
うす紫の
うす墨色に
うちかたまりし
うちかたまりぬ
うちかぶりたる
うちのサンタは
うちの家族は
うちふるへつつ
うちまじりたる
うちを横断
うつくりかりし
うつつに聞けば
うつむき行けば
うつらふ空や
うつりて暗し
うつりて止まる
うつりて浄き
うつるドレスは
うつれる水の
うつろう空や
うつろひゆらぐ
うつろ心や
うなづきゐしが
うなづき聴ける
うなばら遠く
うねりにまかす
うめを見るまで
うやうやしさの
うんさうんさと
移りて消えし
右脳左脳も
宇宙があると
宇宙の孤独
宇宙人となり
唄に寝し子よ
唄をうたへる
噂いやしみ
運命的な
映りしままに
映りて消えし
映りて暮れし
映れる空や
海となりけり
海となりゆく
海のうへなる
海の傾き
海の青さや
海の中なる
海の日を見る
海へ吹かるる
海を見ている
海を照して
海を前なる
嬉しい息子の
湖の面を
後ろに高し
後ろ姿が
後ろ姿に
打かへされし
打ち水されて
動きて見ゆる
動き光れり
動くと見れば
